mmsi,shipname,t_entry,t_cpa,t_exit,transit_duration_min,cpa_distance_m,sog_at_cpa,cog_at_cpa,heading_at_cpa
367479990,WSF KENNEWICK,2025-10-02T03:40:12Z,2025-10-02T03:46:36Z,2025-10-02T03:52:05Z,11.9,4621.4,11.9,47.9,55
366887300,GUARD,2025-10-02T04:00:00Z,2025-10-02T04:03:30Z,2025-10-02T04:06:45Z,6.8,1835.2,11.3,136.2,138
366945000,NAT GEO QUEST,2025-10-02T07:45:12Z,2025-10-02T07:49:33Z,2025-10-02T07:54:12Z,9.0,1520.6,8.2,303.1,301
367578110,WILDERNESS LEGACY,2025-10-02T07:50:00Z,2025-10-02T07:51:59Z,2025-10-02T07:54:30Z,4.5,2100.7,8.3,155.9,158
303442000,HERCULES,2025-10-02T07:10:45Z,2025-10-02T07:12:58Z,2025-10-02T07:15:30Z,4.7,3200.1,4.4,21.4,19
